workId,genreId
"richard-wagner-1813-albumblatt-fur-frau-betty-schott-wwv-108-2","keyboard"
"richard-wagner-1813-fantasia-in-f-sharp-minor-wwv-22-21","keyboard"
"richard-wagner-1813-albumblatt-fur-ernst-benedikt-kietz-lied-ohne-worte-wwv-64-1","keyboard"
"richard-wagner-1813-elegy-wwv-93-19","keyboard"
"richard-wagner-1813-ankunft-bei-den-schwarzen-schwanen-wwv-95-4","keyboard"
"heitor-villa-lobos-1887-homenage-a-chopin-a474-107","keyboard"
"heitor-villa-lobos-1887-simples-coletanea-a134-146","keyboard"
"heitor-villa-lobos-1887-album-7-a283-17","keyboard"
"heitor-villa-lobos-1887-lembranco-do-sertao-a252-113","keyboard"
"heitor-villa-lobos-1887-suite-infantil-no-2-a67-171","keyboard"
"heitor-villa-lobos-1887-album-5-a281-15","keyboard"
"heitor-villa-lobos-1887-suite-infantil-no-1-a53-170","keyboard"
"heitor-villa-lobos-1887-valsa-scherzo-a70-192","keyboard"
"heitor-villa-lobos-1887-poema-singelo-a434-134","keyboard"
"heitor-villa-lobos-1887-dancas-caracteristicas-africanas-a85-80","keyboard"
"heitor-villa-lobos-1887-album-9-a359-19","keyboard"
"heitor-villa-lobos-1887-petizada-a48-130","keyboard"
"heitor-villa-lobos-1887-choros-no-2-a198-62","keyboard"
"heitor-villa-lobos-1887-francette-e-pia-a237-98","keyboard"
"heitor-villa-lobos-1887-tristorosa-a34-187","keyboard"
"heitor-villa-lobos-1887-carnaval-das-8-criancas-brasilieras-a157-52","keyboard"
"heitor-villa-lobos-1887-melodia-da-montanha-mountain-melody-116","keyboard"
"heitor-villa-lobos-1887-sul-america-a217-175","keyboard"
"heitor-villa-lobos-1887-album-8-a358-18","keyboard"
"heitor-villa-lobos-1887-choros-no-5-a207-alma-brasiliera-66","keyboard"
"heitor-villa-lobos-1887-childrens-carnaval--56","keyboard"
"heitor-villa-lobos-1887-album-6-a282-16","keyboard"
"heitor-villa-lobos-1887-suite-floral-a117-169","keyboard"
"heitor-villa-lobos-1887-valsa-lenta-a43-190","keyboard"
"heitor-villa-lobos-1887-ciclo-brasileiro-a374-71","keyboard"
"heitor-villa-lobos-1887-baliado-infernal-a160-38","keyboard"
