id,name,title,description,popular,recommended,primarySource
"henry-purcell-1659-the-knight-of-malta-z599-213","The Knight of Malta, Z.599","The Knight of Malta, Z.599","Purcell - The Knight of Malta, Z.599",false,false,openopus
"henry-purcell-1659-the-libertine-or-the-libertine-destroyed-z600-214","The Libertine, or the Libertine Destroyed, Z.600","The Libertine, or the Libertine Destroyed, Z.600","Purcell - The Libertine, or the Libertine Destroyed, Z.600",false,false,openopus
"henry-purcell-1659-the-maids-last-prayer-or-any-rather-than-fail-z601-215","The Maid's Last Prayer, or Any Rather than Fail, Z.601","The Maid's Last Prayer, or Any Rather than Fail, Z.601","Purcell - The Maid's Last Prayer, or Any Rather than Fail, Z.601",false,false,openopus
"henry-purcell-1659-the-marriage-hater-matchd-z602-216","The Marriage-Hater Match'd, Z.602","The Marriage-Hater Match'd, Z.602","Purcell - The Marriage-Hater Match'd, Z.602",false,false,openopus
"henry-purcell-1659-the-married-beau-or-the-curious-impertinent-z603-217","The Married Beau, or the Curious Impertinent, Z.603","The Married Beau, or the Curious Impertinent, Z.603","Purcell - The Married Beau, or the Curious Impertinent, Z.603",false,false,openopus
"henry-purcell-1659-the-massacre-of-paris-z604-218","The Massacre of Paris, Z.604","The Massacre of Paris, Z.604","Purcell - The Massacre of Paris, Z.604",false,false,openopus
"henry-purcell-1659-the-millers-daugter-riding-catch-for-3-voices-z277-219","The Miller's Daugter Riding, catch for 3 voices, Z.277","The Miller's Daugter Riding, catch for 3 voices, Z.277","Purcell - The Miller's Daugter Riding, catch for 3 voices, Z.277",false,false,openopus
"henry-purcell-1659-the-mock-marriage-z605-220","The Mock Marriage, Z.605","The Mock Marriage, Z.605","Purcell - The Mock Marriage, Z.605",false,false,openopus
"henry-purcell-1659-the-noise-of-foreign-wars--221","The Noise of Foreign Wars ","The Noise of Foreign Wars ","Purcell - The Noise of Foreign Wars ",false,false,openopus
"henry-purcell-1659-the-old-bachelor-z607-222","The Old Bachelor, Z.607","The Old Bachelor, Z.607","Purcell - The Old Bachelor, Z.607",false,false,openopus
"henry-purcell-1659-the-richmond-heiress-or-a-woman-once-in-the-right-z608-223","The Richmond Heiress, or, A Woman Once in the Right, Z.608","The Richmond Heiress, or, A Woman Once in the Right, Z.608","Purcell - The Richmond Heiress, or, A Woman Once in the Right, Z.608",false,false,openopus
"henry-purcell-1659-the-rival-sisters-or-the-violence-of-love-z609-224","The Rival Sisters, or the Violence of Love, Z.609","The Rival Sisters, or the Violence of Love, Z.609","Purcell - The Rival Sisters, or the Violence of Love, Z.609",false,false,openopus
"henry-purcell-1659-the-staircase-overture-z614-225","The Staircase Overture, Z.614","The Staircase Overture, Z.614","Purcell - The Staircase Overture, Z.614",false,false,openopus
"henry-purcell-1659-the-tempest-z631--226","The Tempest, Z.631 ","The Tempest, Z.631 ","Purcell - The Tempest, Z.631 ",false,false,openopus
"henry-purcell-1659-the-virtuous-wife-or-good-luck-at-last-z611-227","The Virtuous Wife, or Good Luck at Last, Z.611","The Virtuous Wife, or Good Luck at Last, Z.611","Purcell - The Virtuous Wife, or Good Luck at Last, Z.611",false,false,openopus
"henry-purcell-1659-the-wives-excuse-or-cuckolds-make-themselves-z612-228","The Wives' Excuse, or Cuckolds Make Themselves, Z.612","The Wives' Excuse, or Cuckolds Make Themselves, Z.612","Purcell - The Wives' Excuse, or Cuckolds Make Themselves, Z.612",false,false,openopus
