work_id,scored_for_type,scored_for_id,is_featured,status
antonio-vivaldi-1678-double-trumpet-concerto-in-d-major-for-2-trumpets-or-oboes-and-continuo-rv781-244,instrument,oboe,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-major-rv520-245,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-major-rv520-245,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-major-rv520-245,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-minor-rv522-246,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-minor-rv522-246,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-minor-rv522-246,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-minor-rv523-247,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-minor-rv523-247,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-a-minor-rv523-247,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-b-flat-major-rv524-248,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-b-flat-major-rv524-248,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-b-flat-major-rv524-248,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-major-rv505-249,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-major-rv505-249,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-major-rv505-249,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-minor-rv509-250,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-minor-rv509-250,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-minor-rv509-250,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-minor-rv510-251,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-minor-rv510-251,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-c-minor-rv510-251,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv511-252,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv511-252,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv511-252,instrument,violin,true,pending
